# x1 x2 x3 x4 x5 y1 y2
100 600 17.48 10.97 0.08 2.625464684 4.2356
139 600 17.82 10.98 0.4 2.123015873 4.2887
116 600 16.99 11.82 0.05 2.004504505 4.3506
170 600 17.42 10.82 0.29 1.88034188 4.4586
170 600 17.83 10.65 0.44 1.350911458 4.2167
50 560 18 11.7 0.22 1.063829787 4.7235
110 603 17.48 10.97 0.08 2.625464684 4.2356
142 590 17.82 10.98 0.4 2.123015873 4.2887
113 630 16.99 11.82 0.05 2.004504505 4.3506
175 620 17.42 10.82 0.29 1.88034188 4.4586
173 610 17.83 10.65 0.44 1.350911458 4.2167
58 560 18 11.7 0.22 1.063829787 4.7235
