Stress_(MPa),Cr,Ni,Mo,Mn,Si,Nb,Ti,Zr,Ta,V,W,Cu,N,C,B,P,S,Co,Al,Sn,Pb,SR,LMP,Reference
160,14.3,20.7,2.45,2,0.16,0.81,0,0,0,0,0.01,0,0,0.082,0.01,0.01,0,0,2.4,0,0,1.234756098,22538.6258,AFA
200,14.3,20.7,2.45,2,0.16,0.81,0,0,0,0,0.01,0,0,0.082,0.01,0.01,0,0,2.4,0,0,1.234756098,21873.46632,AFA
100,14.3,20.7,2.45,2,0.16,0.81,0,0,0,0,0.01,0,0,0.082,0.01,0.01,0,0,2.4,0,0,1.234756098,22839.77647,AFA
160,14.3,20.5,2.05,2,0.16,0.81,0,0,0,0,0.88,0,0,0.082,0.008,0.011,0,0,2.5,0,0,1.234756098,21108.85086,AFAw
200,14.3,20.5,2.05,2,0.16,0.81,0,0,0,0,0.88,0,0,0.082,0.008,0.011,0,0,2.5,0,0,1.234756098,21107.14005,AFAw
100,14.3,20.5,2.05,2,0.16,0.81,0,0,0,0,0.88,0,0,0.082,0.008,0.011,0,0,2.5,0,0,1.234756098,22787.42695,AFAw
160,14.3,20.7,2.45,2,0.16,0.81,0,0,0,0,0.01,0,0,0.082,0.01,0.01,0,0,2.4,0,0,1.234756098,22719.41386,AFA
200,14.3,20.7,2.45,2,0.16,0.81,0,0,0,0,0.01,0,0,0.082,0.01,0.01,0,0,2.4,0,0,1.234756098,21086.95122,AFA
200,14.3,20.7,2.45,2,0.16,0.81,0,0,0,0,0.01,0,0,0.082,0.01,0.01,0,0,2.4,0,0,1.234756098,22096.9442,AFA
160,14.1,20.2,1.69,2,0.15,0.85,0,0,0,0,1.77,0,0,0.082,0.011,0.011,0,0,2.6,0,0,1.295731707,22924.48703,AFAw2
200,14,19.8,0.89,1.9,0.15,0.85,0,0,0,0,3.7,0,0,0.084,0.011,0.011,0,0,2.6,0,0,1.264880952,22397.19559,AFAw4
160,14,19.7,0.42,1.9,0.15,0.82,0,0,0,0,4.64,0,0,0.083,0.0101,0.011,0,0,2.6,0,0,1.234939759,23008.23689,AFAw5
100,14.15,19.97,2.47,1.95,0.15,0.14,0.28,0,0,0.49,0.01,0,0.017,0.068,0.007,0.042,0.003,0,0,0,0,1.029411765,22721.40436,HTUPS1
100,14.2,20,2.46,1.95,0.15,0.14,0.31,0,0,0.5,0,0,0.004,0.076,0.011,0.044,0.005,0,2.4,0,0,1.1875,23905.21456,HTUPS2
100,14.21,19.98,2.46,1.92,0.1,0.14,0.31,0,0,0.49,0,0,0.003,0.079,0.011,0.04,0.005,0,3.67,0,0,1.158536585,23388.13711,HTUPS3
100,14.19,19.95,2.46,1.95,0.15,0.86,0,0,0,0,0,0.01,0.005,0.075,0.01,0.043,0.003,0,2.48,0,0,1.34375,23879.10692,HTUPS4
100,10,4,0,15,0,0.38,0,0,0,0,0,3,0,0.15,0,0,0,0,2.5,0,0,0.316666667,22321.39345,HA-2
100,12,12.2,0,6.4,0,0.7,0,0,0,0,0,0,0.001,0.1,0.007,0,0,0,3,0,0,0.866336634,22601.57038,HB-1
100,12.1,10.1,0,14.3,0,0.1,0,0,0,0,0,3,0,0.037,0,0,0,0,3,0,0,0.337837838,21871.9561,HB-2
100,12,8.1,0,14.5,0,0.5,0,0,0,0,0,3,0.001,0.042,0.003,0,0,0,2.9,0,0,1.453488372,21956.03315,HB-3
100,14,12,0,4.7,0,0.6,0,0,0,0,0,2.9,0.001,0.1,0.001,0,0,0,2.4,0,0,0.742574257,22674.13297,HC-1
100,14,12,0,4.7,0,0.6,0,0,0,0,0,3.0,0.002,0.089,0.007,0,0,0,2.5,0,0,0.824175824,23206.59681,HC-2
100,14,10.1,0,9.3,0,0.6,0,0,0,0,0,2.9,0.001,0.1,0.013,0,0,0,2.4,0,0,0.742574257,22920.14489,HC-3
100,14.2,8.2,0,13.6,0,0.4,0,0,0,0,0,3,0.008,0.14,0.015,0,0,0,2.4,0,0,0.337837838,22839.84159,HC-4
170,14.19,20.15,2.43,1.98,0.15,0.16,0.01,0,0,0,0.04,0,0,0.067,0.007,0.039,0,0,2.4,0,0,0.335820896,22402.95647,A-02
170,14.24,20.01,2.48,1.96,0.15,0.17,0.1,0,0,0.09,0,0,0,0.079,0.01,0.037,0,0,2.46,0,0,0.585443038,22560.69224,A-0.2VT
170,14.19,19.95,2.46,1.95,0.15,0.86,0.01,0,0,0.02,0,0.01,0,0.075,0.01,0.043,0,0,2.48,0,0,1.466666667,23072.12565,A-0.9
170,13.99,21.35,3.09,0,0.01,3.31,0,0,0,0,0,0,0,0.082,0.078,0,0,0,2.3,0,0,5.045731707,22246.80679,A-3.3
170,14.32,20.21,2.01,1.7,0.13,0.41,0.11,0,0,0,0.98,0.47,0,0.08,0.01,0.038,0,0,2.89,0,0,0.984375,22921.36761,B-0.4T
170,14.21,20.13,2,1.93,0.13,0.6,0.11,0,0,0,0.99,0.48,0,0.096,0.01,0.035,0,0,2.88,0,0,1.067708333,22382.31509,b-0.6T
170,14.21,20.13,2,1.93,0.13,0.6,0.11,0,0,0,0.99,0.48,0,0.096,0.01,0.035,0,0,2.88,0,0,1.067708333,23088.94826,b-0.6T
170,14.24,20.11,2,1.93,0.14,1.01,0,0,0,0,0.99,0.47,0,0.1,0.007,0.002,0,0,2.87,0,0,1.2625,23002.31188,B-1.0
170,14.24,20.11,2,1.93,0.14,1.01,0,0,0,0,0.99,0.47,0,0.1,0.007,0.002,0,0,2.87,0,0,1.2625,23045.8972,B-1.0
170,14.38,20.05,2,1.94,0.13,1.48,0.11,0,0,0,0.97,0.48,0,0.087,0.011,0.039,0,0,2.94,0,0,2.442528736,22524.70485,B-1.5T
170,14.38,20.05,2,1.94,0.13,1.48,0.11,0,0,0,0.97,0.48,0,0.087,0.011,0.039,0,0,2.94,0,0,2.442528736,22716.20096,B-1.5T
170,14.39,20.15,1.99,1.91,0.13,2.48,0.12,0,0,0,0.93,0.48,0,0.084,0.009,0.037,0,0,2.89,0,0,4.047619048,22351.95606,B-2.5T
170,11.98,20.02,2,1.92,0.13,0.6,0.11,0,0,0,0.89,0.48,0,0.084,0.01,0.034,0,0,3.93,0,0,1.220238095,22762.67858,C-0.6T
170,12.27,20.54,2.04,2,0.14,0.63,0.06,0,0,0,1.03,0.5,0,0.087,0.007,0,0,0,3.75,0,0,1.077586207,23088.34974,C-0.6T
170,11.95,20.1,2,1.93,0.14,1.01,0,0,0,0,0.99,0.48,0,0.1,0.007,0.019,0,0,3.91,0,0,1.2625,22935.27674,C-1.0
170,11.95,20.1,2,1.93,0.14,1.01,0,0,0,0,0.99,0.48,0,0.1,0.007,0.019,0,0,3.91,0,0,1.2625,23103.07611,C-1.0
170,11.95,20.1,2,1.93,0.14,1.01,0,0,0,0,0.99,0.48,0,0.1,0.007,0.019,0,0,3.91,0,0,1.2625,23130.81423,C-1.0
100,18.56,15.7,3.084,0,0,4.138888889,0,0,0,0,0,0,0,0.1,0.01,0,0,0,2.4,0,0,5.173611111,22197.21766,FNC4
100,18.56,15.7,2.57,0,0,4.47,0.17,0,0,0.09,0.98,0,0,0.13,0.03,0,0,0,2.4,0,0,4.625,22179.52253,FNC11
100,18.56,15.7,3.084,0,0,4.47,0.17,0,0,0.09,0,0,0,0.13,0.03,0,0,0,2.4,0,0,4.625,21954.35781,FNC10
100,18.56,15.7,3.084,0,0,4.966666667,0,0,0,0,0,0,0,0.15,0.01,0,0,0,2.4,0,0,4.138888889,21807.68812,FNC8
100,13.92,20.93333333,3.084,0,0,3.311111111,0,0,0,0,0,0,0,0.08,0.08,0,0,0,2.4,0,0,5.173611111,23229.9025,FNC18
